PV_kWp,Bateria_kWh,Gerador_kW,LCOE_R$/kWh,Penetr.Renov_%,Autonomia_h,CAPEX_R$,OPEX_Anual_R$,LCC_R$,Combustivel_Anual_L,Horas_Gerador_h,Curtailment_kWh,Carga_Nao_Atendida_kWh,Energia_Importada_kWh,Energia_Exportada_kWh,Autoconsumo_%,LCOS_R$/kWh
11.2,10,10,0.4086968849761562,40.86319838993892,2.12396818666324,68200,7095.997428015869,143948.1843788696,0,0,0,0,20278.74697454421,448.4980177835336,38.5396497726522,1.164866470485039
11.2,10,15,0.4328300377303029,40.86319838993892,2.12396818666324,76700,7095.997428015869,152448.1843788696,0,0,0,0,20278.74697454421,448.4980177835336,38.5396497726522,1.164866470485039
11.2,15,10,0.4332971225569738,40.86319838993892,3.185952279994861,74200,7345.605766860889,152612.6975308456,0,0,0,0,19932.25590347897,25.17570782647263,39.58978677594195,1.399508343594353
11.2,10,20,0.4569631904844496,40.86319838993892,2.12396818666324,85200,7095.997428015869,160948.1843788696,0,0,0,0,20278.74697454421,448.4980177835336,38.5396497726522,1.164866470485039
11.2,15,15,0.4574302753111205,40.86319838993892,3.185952279994861,82700,7345.605766860889,161112.6975308456,0,0,0,0,19932.25590347897,25.17570782647263,39.58978677594195,1.399508343594353
11.2,20,10,0.4579033936046618,40.86319838993892,4.247936373326481,80200,7595.413179006978,161279.3357457556,0,0,0,0,19908.26358013956,0,39.66250214622883,1.840642259939788
11.2,15,20,0.4815634280652671,40.86319838993892,3.185952279994861,91200,7345.605766860889,169612.6975308456,0,0,0,0,19932.25590347897,25.17570782647263,39.58978677594195,1.399508343594353
11.2,20,15,0.4820365463588084,40.86319838993892,4.247936373326481,88700,7595.413179006978,169779.3357457556,0,0,0,0,19908.26358013956,0,39.66250214622883,1.840642259939788
15,10,10,0.4980735882594747,54.72749784366707,2.12396818666324,81500,8799.040091617244,175427.783652432,0,0,0,0,18238.57727060864,2822.219297829679,44.7229482123687,0.7812003301232254
11.2,20,20,0.5061696991129552,40.86319838993892,4.247936373326481,97200,7595.413179006978,178279.3357457556,0,0,0,0,19908.26358013956,0,39.66250214622883,1.840642259939788
15,10,15,0.5222067410136213,54.72749784366707,2.12396818666324,90000,8799.040091617244,183927.783652432,0,0,0,0,18238.57727060864,2822.219297829679,44.7229482123687,0.7812003301232254
15,15,10,0.5226662773451675,54.72749784366707,3.185952279994861,87500,9048.399369039564,184089.6381294635,0,0,0,0,17488.60669477056,1900.774142474102,46.9959414258584,0.8611560420756975
15,10,20,0.5463398937677679,54.72749784366707,2.12396818666324,98500,8799.040091617244,192427.783652432,0,0,0,0,18238.57727060864,2822.219297829679,44.7229482123687,0.7812003301232254
15,15,15,0.5467994300993142,54.72749784366707,3.185952279994861,96000,9048.399369039564,192589.6381294635,0,0,0,0,17488.60669477056,1900.774142474102,46.9959414258584,0.8611560420756975
15,20,10,0.5472608962942429,54.72749784366707,4.247936373326481,93500,9297.822322004065,192752.1723286564,0,0,0,0,16841.79049726215,1106.680071476039,48.95629677135832,0.9345380442623451
15,15,20,0.5709325828534607,54.72749784366707,3.185952279994861,104500,9048.399369039564,201089.6381294635,0,0,0,0,17488.60669477056,1900.774142474102,46.9959414258584,0.8611560420756975
