PV_kWp,Bateria_kWh,Gerador_kW,LCOE_R$/kWh,Penetr.Renov_%,Autonomia_h,CAPEX_R$,OPEX_Anual_R$,LCC_R$,Combustivel_Anual_L,Horas_Gerador_h,Curtailment_kWh,Carga_Nao_Atendida_kWh,Energia_Importada_kWh,Energia_Exportada_kWh,Autoconsumo_%,LCOS_R$/kWh
15,20,20,2.067761553051433,51.37339786560013,4.247936373326481,110500,52909.99317572893,728291.1804469038,5141.229719342912,5496,1106.680071476039,0.02045044127587348,0,0,100,0.9345380442623451
20,15,20,2.070321720901603,54.71629087073505,3.185952279994861,122000,52020.96026416074,729192.8016356127,4796.455425255499,5047,6022.781990444463,0.02504662430051408,0,0,100,0.7400609129608942
30,10,10,2.08013439547754,54.2626487998921,2.12396818666324,134000,53552.36821808541,732649.3170498537,4279.748956628524,5117,18210.62902052402,0.008356363186940996,0,0,100,0.6902867429901889
15,15,20,2.095810044984616,48.9666761989081,3.185952279994861,104500,54263.02644384215,738170.2060384322,5332.465606744946,5676,1900.774142474102,0.02045044127587525,0,0,100,0.8611560420756975
25,10,15,2.095912929845618,52.7821633049851,2.12396818666324,125000,53703.52702050788,738206.6987319448,4664.234926231981,5193,12680.02863996746,0.009036279864038654,0,0,100,0.6902867429901901
25,20,20,2.096161398566296,62.17477918433102,4.247936373326481,145500,50736.42379355591,738294.2125171875,4245.295968239371,4821,9580.949637947891,0.009036279864038654,0,0,100,0.7030914762292846
11.2,10,15,2.101583235650634,39.50390112744784,2.12396818666324,76700,57432.32028028883,740203.8235826329,5860.049273890589,6621,448.4980177835336,0.01026836373618978,0,0,100,1.164866470485039
30,15,15,2.104991015726779,59.17924182457558,3.185952279994861,148500,52321.08721808551,741404.1291857266,4164.474956628539,4751,16588.40679830178,0.008356363186940996,0,0,100,0.6902867429901884
15,10,20,2.107145879372253,46.17398185568576,2.12396818666324,98500,55196.18054214944,742162.8270422127,5513.258544946067,5680,2822.219297829679,0.02045044127587525,0,0,100,0.7812003301232254
11.2,15,15,2.109705421040202,40.78689644573208,3.185952279994861,82700,57138.81920942715,743064.5585652965,5776.741416834946,6620,25.17570782647263,0.01026836373619079,0,0,100,1.399508343594353
